名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
８番らーめん鯖江店,"",観光,中華ラーメン,食べる,"","","","","","","","","",鯖江市北野町11-10,"",35.944599,136.194598,昭和42年国道8号線沿いの田んぼの真ん中に、掘っ立て小屋同然の粗末な店構えのラーメン店から始まったという８番ラーメン。今では北陸地方を中心に、関西圏、そして海外でも展開し、約250店の店舗数を誇る。福井人にとっては、小さい頃から食べ親しんだとっても馴染み深い味。8番印のなるとがトレードマーク。,"",0778-52-8252,"",11:00〜23:00（LO.22:45）,11:00:00,23:00:00,年中無休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_509.jpg,"","","",https://www.hachiban.jp/shop/fukui/,"","",８番らーめん鯖江店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
８番らーめん　神明店,"",観光,中華ラーメン,食べる,"","","","","","","","","",鯖江市幸町2-5-23,"",35.977691,136.18159,昭和42年国道8号線沿いの田んぼの真ん中に、掘っ立て小屋同然の粗末な店構えのラーメン店から始まったという８番ラーメン。今では北陸地方を中心に、関西圏、そして海外でも展開し、約250店の店舗数を誇る。福井人にとっては、小さい頃から食べ親しんだとっても馴染み深い味。8番印のなるとがトレードマーク。,"",0778-53-0588,"",11:00〜22:00（LO.21:30）,11:00:00,22:00:00,年中無休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_509.jpg,"","","",https://www.hachiban.jp/shop/fukui/,"","",８番らーめん　神明店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
九龍飯店,"",観光,中華ラーメン,食べる,"","","","","","","","","",鯖江市有定町2-4-28-2,"",35.944604,136.176268,本格中華が味わえるお店。エビチリ、麻婆豆腐などの定番メニューから、北京ダック、フカヒレ、アワビなど高級中華まで堪能できます。お得なランチセットや、点心メニューも豊富で、少量ずついろんな点心を試したい方は点心おまかせセットがおすすめです。,"",0778-51-4090,"",ランチ 11:45〜14:00（火〜金）11:30〜14:00（土・日・祝）ディナー 17:00〜22:00,"","",月曜日（祝日の場合は営業）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_511.jpg,"","","",https://kyuryuhanten.foodre.jp,"","",九龍飯店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
御園飯店,"",観光,中華ラーメン,食べる,"","","","","","","","","",鯖江市水落町8-6,"",35.960607,136.175107,本格的な中華料理をリーズナブルに味わえるお店。豊富なメニューがうれしい。個室もあります。人気の若鶏の唐揚げは、骨付きで旨みたっぷりジューシー。揚げたては最高と人気です。,"",0778-51-6539,"",11:00〜15:00、17:00〜21:00 ,"","",月曜日のディナータイム、火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_512.jpg,"","","",https://misonohanten.com,"","",御園飯店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
三六商店,"",観光,軽食Ｂ級グルメ,食べる,"","","","","","","","","",鯖江市三六町1丁目６−７,"",35.971781,136.179788,鯖江の住宅街にあるテイクアウトフード専門店。看板メニューの「三六サラダ焼き」（1個100円）はロースハム、カイワレ、マヨネーズがたっぷりはいってボリューム満点。,"",0778-54-0690,"",11：00〜16：00,11:00:00,16:00:00,年中無休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_513.jpg,"","","",https://www.sanrokusyoten-316.co.jp,"","",三六商店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ミート＆デリカささき,"",観光,軽食Ｂ級グルメ,食べる,"","","","","","","","","",鯖江市本町3丁目1-5,"",35.946505,136.18556,地元で人気の「サバエドッグ」は、まちなか商店街のお肉屋さんから生まれたB級グルメです。肉巻きおにぎりをフライにしてソースをたっぷりつけたもので、いわゆる“歩きながら食べれるソースかつ丼”。福井産コシヒカリを国産豚肉で巻き、サクサクに揚げて特製ソースにつけてあります。,"",0778-52-4129,"",9：00〜19：00,09:00:00,19:00:00,日曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_514.jpg,"","","",https://www.meat-sasaki.com,"","",ミート＆デリカささき,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
たんぽぽ,"",観光,喫茶軽食,食べる,"","","","","","","","","",鯖江市西袋町３９-１-１,"",35.946266,136.185155,越前漆器で出される薬膳カレーが名物。,"",0778-65-3777,"",10:30〜22:00,10:30:00,22:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_516.jpg,"","","","","","",たんぽぽ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ここるcafe&lunch,"",観光,喫茶軽食,食べる,"","","","","","","","","",鯖江市桜町2丁目7-1　嚮陽会館１階南側,"",35.947607,136.179108,地産地消をモットーにした体にやさしいごはんを提供するお店。日替わりヘルシーランチは、日替わりのワンデイ・シェフ（お当番さん）が、地元の新鮮な食材を使い、心をこめてお届けしています。,"",0778-54-0553,"",10:00〜17:00（LO.16:30）（うち、ランチは11:30〜14:00）,10:00:00,17:00:00,毎週火曜日(祝日の火曜日は営業＆翌水曜日がお休み),"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_517.jpg,"","","",https://cocoru2.sakura.ne.jp/cafelunchcocoru/,"","",ここるcafe&lunch,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
椀椀（わんわん）,"",観光,喫茶軽食,食べる,"","","","","","","","","",鯖江市西袋町40-1-2（うるしの里会館内）,"",35.953294,136.274085,うるしの里会館内にある喫茶コーナーです。料理の器はもちろんのこと、テーブルまで地元の越前漆器を使用しています。地元のおばちゃんたちが運営しているため、営業は土日のみですが、地場産の食材を使用した体に優しいお料理を提供しています。おすすめは「グリーンカレー」。まろやかなココナッツ風味とピリッとした辛さが絶妙の味。他にも、手づくりのスィーツや地元のお清水を使用したコーヒーなどもおいしい。,"",0778-65-3456,"",9：30〜16：30,09:30:00,16:30:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_519.jpg,"","","","","","",椀椀,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ベルベール,"",観光,喫茶軽食,食べる,"","","","","","","","","",鯖江市小黒町1-5-3,"",35.95023,136.17679,天窓からの太陽と南国の植物いっぱいのLOHASなカフェ。植物に囲まれお茶や食事ができ癒されます。ドリンク&フードメニューは豊富でなんと200種類以上。ふわとろ卵のオムライスや、ジューシーなハンバーグ、季節のフルーツをふんだんに使った気まぐれフルーツパフェなど気になるメニューがいっぱいです。,"",0778-52-3888,"",9:30〜22:00（ラストオーダー21:30）,09:30:00,22:00:00,火曜日（祝日の場合は水曜日）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_520.jpg,"","","",http://www.bellver.jp/index.html,"","",ベルベール,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ケーキ工房 さゆぼん,"",観光,喫茶軽食,食べる,"","","","","","","","","",鯖江市杉本町34-7,"",35.981807,136.172098,木のぬくもりあるナチュラルな雰囲気のカフェ。ランチメニューも充実しています,"",0778-52-8739,"",7:30〜18:00,07:30:00,18:00:00,日曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_521.jpg,"","","","","","",ケーキ工房 さゆぼん,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
エルザスコーヒー,"",観光,喫茶軽食,食べる,"","","","","","","","","",鯖江市本町2丁目1-26,"",35.945287,136.185912,自家焙煎珈琲と欧風焼き菓子のカフェ。若いご夫婦で営む、こじんまりと暖かみのある店内には、自家焙煎のコーヒー豆。 ウイーン菓子・ドイツ菓子・フランス菓子などの欧風焼き菓子やパンがずらり。,"",0778-51-0655,"",10:00〜18:30（土日祝10:00〜18:00）,10:00:00,18:30:00,水曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_522.jpg,"","","",http://kaffee-elsass.com/,"","",エルザスコーヒー,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
めだか,"",観光,喫茶軽食,食べる,"","","","","","","","","",鯖江市桜町1丁目5-9,"",35.946696,136.181983,地元学生や西鯖江駅ご利用のお客さんのお腹を満たしてくれるお店です。店内にはアニメのワンピースグッズが数多くかざられており、お客様に喜ばれています。また、気さくなご主人とアイディア満載の女将さんとの会話がとても楽しいよ。女将さんのアイディアいっぱいの豊富なメニューもうれしい。,"",0778-51-8881,"",11：00〜19：30,11:00:00,19:30:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/g-420.JPG,"","","","","","",めだか,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
鉄板焼　にしやま亭,"",観光,焼肉鉄板焼き,食べる,"","","","","","","","","",鯖江市長泉寺1-9-15,"",35.952709,136.183777,コーヒーとお菓子を楽しむためのカウンター席で、ドイツのパン屋さんでの修行経験があるご主人と会話を楽しみながらコーヒーはいかがですか？,"",0778-51-0304,"",AM11:30〜PM2:30 ／ PM:5:30〜PM10:00,11:30:00,22:00:00,毎週月曜日・火曜日（祝日の場合は翌日）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_601.jpg,"","","",http://www.nishiyama-tei.jp/,"","",鉄板焼　にしやま亭,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
獏の棲む森,"",観光,焼肉鉄板焼き,食べる,"","","","","","","","","",鯖江市東鯖江 1-2-16,"",35.945537,136.194956,和牛ステーキやしゃぶしゃぶ、お好み焼など豊富なメニューを揃えている。また、緑に囲まれた中庭では本格炭火バーベキューも楽しめます。予算や要望に合わせて、旬の食材を用意してくれるバーベキュープランもあるので安心。,"",0778-51-7556,"",AM 11：30〜PM 2：00、　PM 5：00〜PM 10：00（Ｌ．Ｏ）,11:30:00,22:00:00,月曜日（ただし、予約があれば営業）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_603.jpg,"","","",http://baku-mori.com/,"","",獏の棲む森,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
お好み焼　このみ,"",観光,お好み焼き,食べる,"","","","","","","","","",鯖江市桜町２丁目８-１９,"",35.947061,136.179406,40年以上愛される鯖江ではお馴染みのお好み焼きやさん。昭和の雰囲気が漂うレトロな店内は、昔からの常連さんで賑わう。テーブル席には、鉄板の横にたこ焼き用鉄板も付いていて、自分でつくるのも楽しい。,"",0778-52-0806,"",17:30〜21:30（金 土 17:30〜22:00）,17:30:00,21:30:00,月曜日火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_604.jpg,"","","",http://www.kuchikomimap.com/10049/,"","",お好み焼　このみ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
お好み焼セレネ,"",観光,お好み焼き,食べる,"","","","","","","","","",鯖江市日の出町1-18,"",35.943124,136.187919,お好み焼、焼きそばはもちろん、鉄板焼きやもんじゃ焼きなど、幅広いメニューを揃えています。お好み焼等のテイクアウトもできますよ。,"",0778-52-2878,"",11：30〜20：30（月 12:00〜20:30）,11:30:00,20:30:00,日曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_605.jpg,"","","","","","",お好み焼セレネ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
TRUMP（トランプ）,"",観光,お好み焼き,食べる,"","","","","","","","","",鯖江市水落町１−１３−１８　キリンビル,"",35.960646,136.175835,個室はすべて牢獄風！洒落た雰囲気のお店。20種類以上あるお好み焼・鉄板焼きメニューをはじめ、おつまみになる一品料理も豊富です。お酒も100種類以上揃えているので、ゆっくりとお酒を楽しみたいときにもおすすめです。,"",0778-52-7781,"",17：30〜翌1：00,17:30:00,01:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_606.jpg,"","","",http://sabaetrump.wixsite.com/trump,"","",TRUMP,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ちせん,"",観光,お好み焼き,食べる,"","","","","","","","","",鯖江市つつじヶ丘町1-2,"",35.988319,136.184274,さばえで長年愛されるお好み焼きのお店。ボリュームたっぷりのふわふわお好み焼きが美味しいと人気です。,"",0778-51-1150,"",11：30〜22:30,11:30:00,22:30:00,月曜日（祝日の場合は火曜日）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_607.jpg,"","","","","","",ちせん,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
きらめきロード中河,"",百景,水辺,観る,"","","",春,中野町、浅水川堤防沿い,"","","","","","",35.95254,136.207561,鯖江市の東部を流れる浅水川の堤防沿いの通り。桜並木と地域の人々が植えた水仙が美しい花を咲かせます。4月上旬〜中旬の頃が特に美しい景観となります。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No1.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No1.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
三床山,"",百景,里山農村,観る,"","","",春,石生谷町ほか,"","","","","","",35.947476,136.129267,鯖江市の西部にある標高280mの山で御床山とも書きます。古くから要塞の地で、山頂二は延喜式神名帳にも記述のある佐々牟志神社が鎮座し山城跡も残っています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No2.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No2.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
日野川と河川公園,"",百景,水辺,観る,"","","",春,有定町ほか,"","","","","","",35.948067,136.172934,豊かに流れる水、自然に優しい緑、整備された憩いの河川公園です。冬はコハクチョウが飛来します。鯖江の中央部を南北に流れる日野川の景観です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No3.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No3.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
中河地区の田園風景,"",百景,里山農村,観る,"","","",夏,三里山からみた中河地区,"","","","","","",35.957308,136.216149,三里山と橋立山、鞍谷川に囲まれた、中野町、舟枝町、橋立町の景観は、一団の農地としては鯖江市で一番広く、初夏には、稲の緑と大麦の金色の対比が鮮やかです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No4.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No4.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
王山古墳と散策路,"",百景,歴史文化,観る,"","","",秋,舟津町,"","","","","","",35.939546,136.18517,「王山」は標高62mの山で、弥生時代から古墳時代の古墳49基が散在しています。1700年という歴史と自然林が独特の景観と静寂を醸し出しています。国指定史跡,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No5.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No5.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
三峯の大銀杏,"",百景,歴史文化,観る,"","","",秋,上戸口町,"","","","","","",35.977249,136.270453,泰澄大師が植えたとされ、「乳授けの伝説」が伝わる樹齢数百年の大銀杏。56豪雪により折れたが、奇跡的に再生成長を続けています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No6.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No6.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
戸口滝（刀那の滝）,"",百景,水辺,観る,"","","",春,上戸口町,"","","","","","",35.9716331662,136.2645435333,戸口滝は、まぼろしの村三峯をめざす道の途中にあります。大正14年の滝開き以来、たくさんの村人に安らぎを与えたであろう、高さ7m、幅4mの名滝です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No7.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No7.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
文殊山,"",百景,里山農村,観る,"","","",夏,南井町、大正寺町,"","","","","","",35.990083,136.223783,北部にある標高約360mの山で、山頂に安置されている文殊菩薩が山名の由来となっています。古来より信仰の対象となってきた霊山で、遊歩道も整備されています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No8.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No8.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
嶺北忠霊場,"",百景,歴史文化,観る,"","","",春,水落１丁目　嶺北忠霊場,"","","","","","",35.95879,136.181297,閑静で自然豊かな景観は、市民の心を癒す空間として優れています。新緑の頃は素晴らしく、早朝には散策者でにぎわいます。桜の名所としても人気があります。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No9.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No9.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
舟津神社,"",百景,歴史文化,観る,"","","",春,舟津町　舟津神社,"","","","","","",35.938675,136.186221,延喜式神名帳に「舟津神社」と記述のある古社で、古来より北陸鎮護の社として敬われてきました。文政元年の建築とされる本殿と赤鳥居は福井県指定文化財,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No10.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No10.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
本山誠照寺,"",百景,歴史文化,観る,"","","",夏,本町　本山誠照寺,"","","","","","",35.946979,136.184354,鎌倉時代に寺域を定めたと伝えられている、真宗誠照寺派の本山。江戸時代中期建築の四足門は、越前の近世寺社建築を代表するもので四足門と鐘楼は市の指定文化財。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No11.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No11.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
旧瓜生家住宅と烏ヶ森社叢,"",百景,歴史文化,観る,"","","",春,神明町,"","","","","","",35.971034,136.182531,神明社の社叢である烏ヶ森の一角にある茅葺民家「旧瓜生家住宅」は江戸時代前期の建築で、国重要文化財に指定されています。歴史を感じる静かな場所です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No12.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No12.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
下新庄町の劔神社,"",百景,歴史文化,観る,"","","",夏,下新庄町　劔神社,"","","","","","",35.936486,136.212657,境内入り口には2つの鳥居、奥には庭園が設置されています。この石畳の参道は150m以上もの奥行きがあります。境内は手入れが行き届き、静寂で荘厳な雰囲気です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No13.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No13.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
河和田町漆器神社参道,"",百景,歴史文化,観る,"","","",夏,河和田町　漆器神社参道,"","","","","","",35.951721,136.269906,高台にある神社へ向かう参道から眺める景観は、伝統工芸の街らしさを醸し出しており、都市化が著しい昨今にとっては価値のある日本のふるさと的景観です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No14.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No14.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
吉江町の七曲り,"",百景,歴史文化,観る,"","","",夏,吉江町,"","","","","","",35.986749,136.172156,吉江町界隈は、江戸時代前期の「吉江藩」の面影を今に伝えています。旧家の古風な塀垣が当時を偲ばせ、近松門左衛門も幼少期をここで過ごしたといわれています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No15.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No15.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西山公園,"",百景,まち,観る,"","","",春,桜町ほか,"","","","","","",35.950627,136.182606,約5万株が咲き乱れる日本海側随一のつつじの名勝。毎年５月上旬には「つつじまつり」が行われ、多くの人で賑わいます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No16.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No16.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
うるしの里通り,"",百景,まち,観る,"","","",夏,川島町ほか,"","","","","","",35.949307,136.235456,鯖江から河和田にまっすぐ延びる「うるしの里通り」は、田んぼや山々の風景が心を和ませてくれます。街路樹のハナミズキは秋に紅葉し、うるし街道と呼びたくなる美しさです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No17.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No17.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
福井高専進入路,"",百景,まち,観る,"","","",夏,下司町,"","","","","","",35.938067,136.169699,道路に沿って高くそびえるポプラ並木の景観が大変素晴らしく、学校の通学路、また散策路として市民に親しまれています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No18.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No18.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
旧鯖浦線と駅舎跡,"",百景,まち,観る,"","","",春,平井町,"","","","","","",35.963106,136.146154,鯖浦線は、鯖江と越前海岸の四ヶ浦を結ぶことを計画して名づけられました。昭和48年に廃線となり、現在は自転車および歩行者用道路として通学路になっています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No19.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No19.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
嚮陽会館周辺,"",百景,まち,観る,"","","",秋,桜町ほか,"","","","","","",35.947526,136.180143,嚮陽会館は西山公園の一角にあり、緑をふんだんに取り入れ、ゆったりとした雰囲気です。公園と道路の歩道は一体的に整備され、広い歩行空間が提供されています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No20.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No20.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
元三大師と福鉄鉄橋,"",百景,歴史文化,観る,"","","",春,長泉寺町２丁目,"","","","","","",35.95569,136.185583,福井鉄道福武線の市道に架かる鉄道橋で、大正13年ごろの建築です。無骨な橋脚と元三大師が開いた「すりばちやいと」のお寺、中道院の杉の大木が絶妙のコントラストです。、,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No21.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No21.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
サンドーム福井,"",百景,まち,観る,"","","",秋,舟津町〜越前市瓜生町,"","","","","","",35.930579,136.185744,ハピラインふくい線の車窓から、また北陸自動車道から見えるサンドーム福井は鯖江の名物風景であり、鯖江のランドマークとなっています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No22.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No22.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
進徳小学校ポケットパーク,"",百景,まち,観る,"","","",春,長泉寺町２丁目,"","","","","","",35.954743,136.184467,ポプラと芝生広場のコントラストが四季を通じて素晴らしく、車で通る人々にほっとする安らぎを感じさせる景観です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No23.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No23.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
めがね会館,"",百景,まつり活動,観る,"","","",春,新横江２丁目,"","","","","","",35.942758,136.198844,めがねフレームの国内製造シェア約95％を誇る産地の中心鯖江のめがねフレームのシンボル的拠点施設であり、鯖江の高建築物のランドマークです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No24.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No24.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ラポーゼかわだ,"",百景,まち,観る,"","","",春,上河内町,"","","","","","",35.948047,136.3,周辺の田園や山々の風景と、建物のデザインがマッチした近代的な施設です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No25.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No25.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
駅東線の街路樹,"",百景,まち,観る,"","","",夏,新横江１丁目ほか,"","","","","","",35.943357,136.19033,鯖江市柳町付近のケヤキ並木、そして鯖江市文化センター横の銀杏で、特に三里山を正面に10月下旬の紅葉した銀杏並木と夕焼けに映えた景観はとてもいいです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No26.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No26.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
文化の館および前広場,"",百景,まち,観る,"","","",春,水落２丁目,"","","","","","",35.962021,136.186703,鯖江市文化の館は、図書館でもあり、文化を披露できる施設です。また、北側の広場の散策でき、施設が周辺の景観とマッチしています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No27.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No27.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
青葉、吉谷町周辺桜並木,"",百景,まち,観る,"","","",春,吉谷町,"","","","","","",35.969914,136.212754,鯖江市青葉、吉谷町地係の街路樹で、春は、桜が咲き、桜並木のトンネルはとてもきれいです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No28.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No28.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
中野大橋,"",百景,水辺,観る,"","","",春,中野町（出口）,"","","","","","",35.94975,136.207368,鯖江ICから鯖江市河和田地区に向かううるしの里通りの途中、浅水川に架かる唯一の木造欄干の橋です。特に夜は、「きらめきロード中河」の桜並木とあんどんがマッチしてとてもきれいです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No29.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No29.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
御幸団地県道グリーンベルト,"",百景,まち,観る,"","","",夏,御幸町２丁目ほか,"","","","","","",35.975749,136.190953,鯖江市御幸町地係で、国道8号線に出るまでの県道（文殊近松通り）と住宅地をさえぎるかのように、約100ｍそびえたっており、いつまでも残してほしい眺めです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No30.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No30.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
近藤醤油店,"",百景,歴史文化,観る,"","","",夏,水落町３丁目,"","","","","","",35.967001,136.183044,鯖江市水落町3丁目地係であるこの付近は、旧北国街道の風情が感じられる建物が多く残されています。その中でもこの建物は特に趣が感じられます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No31.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No31.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
